Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
O-Ton,2023-03-28,tagesthemen,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",,Ricarda Lang,Jeder Kilometer Autobahn wird auch fuer erneuerbare Energien genutzt.,Die Grünen,Kilometer Autobahn Fuer erneuerbar Energie nutzen
O-Ton,2023-03-28,tagesthemen,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",,Ricarda Lang,"Wir bekraeftigen gemeinsam, dass das Gebaeude-Energiegesetz kommen wird.",Die Grünen,bekraeftigen gemeinsam Gebaeudeenergiegesetz kommen
O-Ton,2023-03-28,tagesthemen,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",,Ricarda Lang,Wir werden einen sozialen Ausgleich dafuer machen.,Die Grünen,sozial Ausgleich Dafuer
O-Ton,2023-03-28,tagesthemen,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",,Ricarda Lang,Wir sprechen noch mit einem weiteren Teilnehmer,Die Grünen,sprechen weit Teilnehmer
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,In den letzten Jahren ist vieles liegen geblieben.,Die Grünen,letzter Jahr viele liegen bleiben
O-Ton,2023-03-28,tagesthemen,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",,Ricarda Lang,der Marathon-Sitzung.,Die Grünen,Marathonsitzung
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Wir schaffen es immer noch nicht, die Luecke beim Verkehr zu schliessen.",Die Grünen,schaffen immer Luecke Verkehr schliessen
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Wir kommen aus nicht einfachen Verhandlungen.,Die Grünen,kommen einfach Verhandlung
,2023-03-28,tagesthemen,,,,wenn in anderen Bereichen eingespart wird.,,Bereich einsparen
,2023-03-28,tagesthemen,,,,Dafuer muss das Klimaschutzgesetz aufgeweicht werden.,,Dafuer Muss Klimaschutzgesetz aufgeweicht
,2023-03-28,tagesthemen,,,,Bei den Heizungen soll niemand im Stich gelassen werden.,,Heizunge sollen niemand stich lassen
,2023-03-28,tagesthemen,,,,16 Seiten lang ist die Einigung von heute.,,16 Seite lang Einigung heute
,2023-03-28,tagesthemen,,,,Schon am Abend,,schon Abend
,2023-03-28,tagesthemen,,,,vor der Pressekonferenz zeigte er sich zufrieden.,,Pressekonferenz zeigen zufrieden
,2023-03-28,tagesthemen,,,,"Ich bin sehr zuversichtlich, dass wir ein grosses Werk haben.",,zuversichtlich gross Werk
,2023-03-28,tagesthemen,,,,Der ÈArger ueber durchgestochene Gesetze scheint verflogen.,,èarger ueber durchgestochen Gesetz scheinen verfliegen
,2023-03-28,tagesthemen,,,,Das Thema Finanzen war in der Mammutsitzung nicht Thema.,,Thema Finanz Mammutsitzung Thema
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"In Berlin begruesse ich die Co-Partei-Chefin der Gruenen,",Die Grünen,Berlin begruessen Coparteichefin gruen
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Ricarda Lang.,Die Grünen,Ricarda lang
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Guten Abend.,Die Grünen,gut Abend
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Vor einer Woche beklagte Robert Habeck hier im Interview beklagt,",Die Grünen,Woche beklagt Robert Habeck Interview beklagen
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,die Koalition komme ihrem Auftrag nicht nach.,Die Grünen,Koalition kommen Auftrag
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Wird sie das nach dieser Marathon-Sitzung nun?,Die Grünen,Marathonsitzung
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Es waren zaehe Verhandlungen.,Die Grünen,zaehen Verhandlung
O-Ton,2023-03-28,tagesthemen,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",,Ricarda Lang,Ebenfalls in unserem Hauptstadtstudio,Die Grünen,ebenfalls Hauptstadtstudio
O-Ton,2023-03-28,tagesthemen,"(zur Möglichkeit von Kompensationszahlungen, wenn durch Baumaßnahmen in Natur undLandschaft eingegriffen wird: ""Das bedeutet, dass es in Zukunft eine Agentur geben soll, die eineVerantwortung dafür hat, gemeinsam zu schauen, welche Fläche kann eigentlich bestmöglich genutztwerden. Das heißt, das Prinzip, wenn ich einen bestimmten Bau vornehme, ich gleichzeitig einen Ausgleichleisten muss und dass das über Flächen gelingt, das bleibt weiterhin ... Klimaschutz, Naturschutz wird durchdiese Vereinbarung ganz klar gestärkt"")",wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,In diesem Papier steckt ein grosser Fortschritt fuer den Naturschutz.,Die Grünen,Papier stecken Grosser Fortschritt Fuer Naturschutz
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,"Man kann das untereinander vermauscheln,",Die Grünen,untereinander vermauscheln
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,Das ist ein Kompromiss.,Die Grünen,Kompromiss
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,Kein Sektor wird aus der Verantwortung genommen.,Die Grünen,Sektor Verantwortung nehmen
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,Dann muss der betreffende Sektor Verantwortung uebernehmen.,Die Grünen,betreffend Sektor Verantwortung uebernehmen
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,Es kann nicht zur Verantwortungs- Diffusion kommen.,Die Grünen,Verantwortungs Diffusion kommen
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,kann ein Sektor dem anderen helfen.,Die Grünen,Sektor helfen
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,"Nur wenn die Regierung als gesamtes ihre Klimaziele einhaelt,",Die Grünen,Regierung Gesamt Klimaziel einhaeln
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,welcher Sektor besser dasteht.,Die Grünen,Sektor gut dastehen
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,"Wenn wir uns einig gewesen waeren,",Die Grünen,waeren
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,dass nicht mehr jeder Bereich fuer sich Klimaziele erreichen muss.,Die Grünen,mehr Bereich Fuer klimaziele erreichen
O-Ton,2023-03-28,tagesthemen,"(""Ich habe gar kein Problem mit marktwirtschaftlichen Instrumenten im Klimaschutz. Wirwerden am Ende beides brauchen - Marktwirtschaft und Ordnungsrecht""; Sektorziele im Klimaschutzgesetzbleiben erhalten; erklärt, dass es für einzelne Bereiche wie Energie, Industrie, Verkehr und Gebäude möglichsein, soll Zielverfehlungen in einem Sektor in einem anderen auszugleichen)",,Ricarda Lang,"Ich wundere mich, dass die Gruenen diesen Paradigmen-Wechsel mitgehen,",Die Grünen,wunderen gruen Paradigmenwechsel mitgeh
